stock,horizon,model,bootstrap,bias2,var,noise,mse,bias_share,var_share,noise_share
3110dbc5706f4c388802faed11845bf9,1,garch,stationary,2.5877423392906756e-06,4.96338688029417e-07,0.0,3.0741542535595043e-06,0.8417737451835341,0.16145536205761826,0.0
3110dbc5706f4c388802faed11845bf9,5,garch,stationary,3.2433705761979378e-06,1.0940445610365997e-06,0.0,4.315534246013805e-06,0.7515571401602921,0.2535131222854163,0.0
3110dbc5706f4c388802faed11845bf9,10,garch,stationary,6.0151403790416565e-06,6.189938449161945e-08,0.0,6.075801775843441e-06,0.990015902585406,0.010187854504688247,0.0
3110dbc5706f4c388802faed11845bf9,60,garch,stationary,7.731346704451607e-05,6.32395094817893e-08,0.0,7.737544176380822e-05,0.9991990388955538,0.0008173072494349119,0.0
338f683c092048ebaba1708e6dd1e774,1,garch,stationary,1.3362722907710942e-06,1.5840841011559803e-07,0.0,1.49151253268438e-06,0.8959175746020123,0.10620655652855915,0.0
338f683c092048ebaba1708e6dd1e774,5,garch,stationary,3.2126465961169422e-06,8.925378661320859e-08,0.0,3.3001153069978863e-06,0.9734952561519693,0.027045656987786507,0.0
338f683c092048ebaba1708e6dd1e774,10,garch,stationary,6.595647831853398e-06,1.1765124939186206e-08,0.0,6.607177654293802e-06,0.9982549549832505,0.0017806581803563903,0.0
338f683c092048ebaba1708e6dd1e774,60,garch,stationary,5.7789597834210554e-05,1.0541817290447277e-08,0.0,5.7799928815155186e-05,0.9998212630853288,0.00018238460680739115,0.0
34dec4dac8ad49e2b4104f7c0ba105b3,1,garch,stationary,4.811639532726072e-06,5.590535742624597e-06,0.0,1.0290364560498175e-05,0.4675868871737166,0.5432786865574323,0.0
34dec4dac8ad49e2b4104f7c0ba105b3,5,garch,stationary,3.975543772748993e-06,4.281583086566263e-07,0.0,4.395138915232486e-06,0.9045319953302777,0.09741633129563512,0.0
34dec4dac8ad49e2b4104f7c0ba105b3,10,garch,stationary,4.796774670656421e-06,4.2334879486066426e-07,0.0,5.211656489619872e-06,0.9203934833790798,0.08123113940910225,0.0
34dec4dac8ad49e2b4104f7c0ba105b3,60,garch,stationary,0.0001553155449051018,2.9600457414252184e-07,0.0,0.00015560562938776146,0.9981357712841046,0.0019022741998934577,0.0
364c0ad490cb4b9cb493c952b2124f17,1,garch,stationary,8.137862579614742e-07,8.897892842298239e-08,0.0,9.009856078159965e-07,0.9032178215744256,0.09875732492405592,0.0
